Oxygen availability,aerobic,aerobic.1,aerobic.2,aerobic.3,aerobic.4,aerobic.5,aerobic.6,aerobic.7,microaerobic,microaerobic.1,anaerobic,anaerobic.1,anaerobic.2,anaerobic.3,microaerobic.2,microaerobic.3,anaerobic.4,microaerobic.4,anaerobic.5,microaerobic.5
34dhbz,0,-1,-1,-1,-1,-1,-1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.666666666666666
met_1879,-1,-1,-1,-1,-1,-1,-1,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
34hpl,-1,-1,-1,-1,-1,-1,-1,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
acgam6p,-1,-1,-1,-1,-1,-1,-1,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
met_17296,-1,-1,-1,-1,-1,-1,-1,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
anth,-1,-1,-1,-1,-1,-1,-1,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
4abz,-1,-1,-1,-1,-1,-1,-1,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
4hbz,-1,-1,-1,-1,-1,-1,-1,0.666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
uacgam,-1,-1,-1,-1,-1,-1,-1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666666,0.5
trp__L,-1,-1,-1,-1,-1,-1,-1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
pphn,-1,-1,-1,-1,-1,-1,-1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
phpyr,-1,-1,-1,-1,-1,-1,-1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
pacald,-1,-1,-1,-1,-1,-1,-1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
met_4APETH,-1,-1,-1,-1,-1,-1,-1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
met_11009,-1,-1,-1,-1,-1,-1,-1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
chor,-1,-1,-1,-1,-1,-1,-1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
ichor,-1,-1,-1,-1,-1,-1,-1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
met_39150,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,0.666666666666666,0.666666666666666
met_17128,0.444444444444444,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
met_30362,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
met_37808,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
met_18153,0.333333333333333,1,1,1,1,1,1,0.444444444444444,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CE2028,0.363636363636363,1,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.666666666666666,0.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
met_57302,0.666666666666666,1,0.75,0.75,0.75,0.75,0.75,0.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5aptn,-1,0.5,0.25,0.25,0.25,0.25,0.25,0.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
met_77761,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5apentam,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
L2aadp,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
glutar,0.25,1,0.25,0.25,0.25,0.25,0.25,0.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
oxptn,0.25,1,0.25,0.25,0.25,0.25,0.25,0.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
oxa,0.444444444444444,0.5,0.444444444444444,0.5,0.5,0.5,0.5,0.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
catechol,0,1,0.5,0.5,0.5,0.5,0.5,0.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ccmuac,0,1,0.5,0.5,0.5,0.5,0.5,0.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
met_32879,0.333333333333333,1,0.5,0.5,0.5,0.5,0.5,0.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pime,0.333333333333333,1,0.4,0.4,0.4,0.4,0.4,0.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
met_40968,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
met_64782,-1,-1,1,1,1,1,1,0.666666666666666,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
met_79112,0.333333333333333,-1,1,1,1,1,1,0.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
met_57504,0.5,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
34dhcinm,0.5,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
dopa,0.5,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
dha,0,-1,-1,-1,-1,-1,-1,1,-1,-1,0.5,0.5,0.5,-1,-1,-1,-1,-1,0.666666666666666,0.666666666666666
ibutac,0.5,1,-1,-1,-1,-1,-1,0.666666666666666,-1,-1,0.4,0.333333333333333,0.333333333333333,-1,-1,-1,-1,-1,0.5,0.5
met_14BDO,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,0.5,-1,-1,-1,-1,-1,0.666666666666666,0.666666666666666
lald__D,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.666666666666666,0.666666666666666
4hoxoh,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.666666666666666,0.666666666666666
acetol,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.666666666666666,0.666666666666666
met_35687,0.5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.4,0.4
met_MalSA,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.666666666666666,0.666666666666666
pta,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
hpta,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
met_48946,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
met_76283,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0.5
octa,0.444444444444444,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.444444444444444,0.5
met_TIGLATE,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.666666666666666,0.666666666666666
subeac,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
hxa,0.444444444444444,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.4,0.4
met_88764,0.375,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.333333333333333,0.375
ibutoh,0.333333333333333,1,-1,-1,-1,-1,-1,0.666666666666666,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,0.5
met_75460,0.5,1,-1,-1,-1,-1,-1,0.666666666666666,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.666666666666666,0.666666666666666
btd_RR,0.5,1,-1,-1,-1,-1,-1,0.666666666666666,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.666666666666666,0.666666666666666
met_16812,0.5,1,-1,-1,-1,-1,-1,0.666666666666666,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.666666666666666,0.666666666666666
val__L,0.25,0.5,-1,-1,-1,-1,-1,0.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.4,0.4
but,0.375,0.444444444444444,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.4,0.4
lac__L,0.5,0.333333333333333,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.666666666666666,0.666666666666666
3hppnl,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
met_87381,0.25,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
succ,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
glyc,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
met_GBL,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
etoh,1,0.444444444444444,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ppa,0.666666666666666,0.363636363636363,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
met_DHB,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.666666666666666,0.666666666666666
met_DHBA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.666666666666666,0.666666666666666
ppal,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.666666666666666,-1
met_88063,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.666666666666666,-1
met_18351,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.666666666666666,-1
12ppd__R,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.666666666666666,-1
met_16997,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.666666666666666,-1
phe__L,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
met_MP2TN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
met_30742,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
met_27452,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cinnm,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
gcald,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tym,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
met_87755,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
met_M2P2TEN,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fer,0.333333333333333,-1,0.75,0.5,0.5,-1,-1,0.666666666666666,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
met_3HXTYR,0.5,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
met_37830,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
met_17756,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
met_36656,0,-1,0.5,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
